strain,rep,enviro,anc.1.72,evol.1.72,MIC24,MIC48,MIC72,MIC24.10,MIC48.10,MIC72.10,SMG24,SMG48,SMG72,SMG24.10,SMG48.10,SMG72.10,tabMIC10
1,1,1,1.762375,1.8465,4,4,4,4,4,4,0.041639698,0.128392535,0.212588783,0.030436253,0.103178017,0.227567774,>1
1,2,1,1.755875,1.828,4,4,4,4,4,4,0.052766004,0.151541893,0.255702398,0.034854527,0.073472544,0.171323244,>1
1,3,1,1.764875,1.822,4,4,4,4,4,4,0.070607011,0.138335287,0.197022938,0.037126361,0.090478949,0.197204146,>1
1,4,1,1.774125,1.841,4,4,4,4,4,4,0.034725689,0.137708576,0.24238012,0.02804334,0.114847141,0.269254644,>1
1,5,1,1.764875,1.8205,4,4,4,4,4,4,0.037492177,0.127311765,0.208686338,0.031768707,0.091889772,0.1978738,>1
1,6,1,1.758125,1.811,4,4,4,4,4,4,0.045885803,0.139110324,0.219086812,0.031658721,0.09627238,0.200567043,>1
1,7,1,1.752125,1.818,4,4,4,4,4,4,0.055075411,0.117468255,0.184614632,0.033138769,0.101659651,0.257368625,>1
1,8,1,1.778375,1.841,4,4,4,4,4,4,0.032296856,0.123611313,0.21365532,0.028977714,0.098303465,0.21825738,>1
1,9,1,1.757875,1.8385,4,4,4,4,4,4,0.050089546,0.13865649,0.242615107,0.033575545,0.087716728,0.212734742,>1
1,10,1,1.742,1.796,4,4,4,4,4,4,0.03518874,0.119508948,0.231422818,0.033005175,0.08853937,0.259565667,>1
1,11,1,1.75625,1.8335,4,4,4,4,4,4,0.043810175,0.095702367,0.183459522,0.042773645,0.057874396,0.178111898,>1
1,12,1,1.74225,1.8145,4,4,4,4,4,4,0.047240179,0.101001178,0.194083481,0.032696463,0.086933177,0.240393468,>1
2,1,1,1.31825,1.8015,1,1,1,1,1,1,0.070410401,0.07891663,0.093427367,0.100129366,0.082253314,0.10979261,1
2,2,1,1.30475,1.685,1,1,1,1,1,1,0.061039484,0.072604568,0.088676319,0.13650043,0.06069849,0.073573017,1
2,3,1,1.30525,1.7255,1,1,1,1,1,1,0.063993863,0.068933688,0.079802883,0.074707367,0.056389587,0.065104547,1
2,4,1,1.316375,1.7965,1,1,1,1,1,1,0.069049133,0.096858446,0.107268464,0.056446792,0.044988446,0.047783039,1
2,5,1,1.300125,1.714,1,1,1,1,1,1,0.069226318,0.073866155,0.082598471,0.078854811,0.048884166,0.062406072,1
2,6,1,1.290375,1.712,1,1,1,1,1,1,0.066277196,0.073705179,0.08161916,0.132135729,0.054344524,0.054914594,1
2,7,1,1.290875,1.632,1,1,1,4,1,1,0.06300813,0.068926095,0.085304923,0.085844094,0.025451938,0.042955326,>1
2,8,1,1.30025,1.6165,1,1,1,1,1,1,0.049521149,0.077195674,0.102320522,0.125558036,0.090461014,0.118518245,1
2,9,1,1.259,1.7045,1,1,1,1,1,1,0.053943089,0.05993353,0.0717555,0.098414986,0.061130554,0.065270188,1
2,10,1,1.144125,1.684,1,1,1,1,1,1,0.063568647,0.069939151,0.07973053,0.2174821,0.031714893,0.031627872,1
2,11,1,1.16775,1.7145,1,1,1,1,1,1,0.047003074,0.053950472,0.073544433,0.095027881,0.037799909,0.043784469,1
2,12,1,1.162375,1.716,1,1,1,1,1,1,0.045035223,0.04741573,0.061419985,0.072728737,0.051570197,0.080443305,1
3,1,1,0.648625,1.318,0.25,0.000125,0.000125,1,512,512,0.110799551,0.166666667,0.269602106,0.40315194,0.62971732,0.736346097,1
3,2,1,0.60325,1.201,0.25,0.000125,0.000125,0.5,512,512,0.086132208,0.130012715,0.225241723,0.431360492,0.611148402,0.699836965,<1
3,3,1,0.781,1.6185,0.25,0.000125,0.000125,8,512,512,0.09519863,0.158563967,0.271304263,0.47616408,0.762399762,0.852346517,>1
3,4,1,0.822375,1.351,0.25,0.000125,0.000125,0.5,4,512,0.115719819,0.175392923,0.256879187,0.239456662,0.500888325,0.723684975,<1
3,5,1,0.772875,1.3755,0.25,0.000125,0.000125,4,512,512,0.094850047,0.143076025,0.231392059,0.208077186,0.600257706,0.749242311,>1
3,6,1,0.899875,1.274,0.25,0.000125,0.000125,1,512,512,0.092228936,0.15754597,0.261779467,0.240093737,0.544685273,0.673372649,1
3,7,1,0.79225,1.347,0.25,0.000125,0.000125,4,1,512,0.100666087,0.144854998,0.214987535,0.220963601,0.488901984,0.638375099,>1
3,8,1,0.8375,1.4845,0.25,0.000125,0.000125,1,512,512,0.111120255,0.17164723,0.234808902,0.423456551,0.713536354,0.799581006,1
3,9,1,0.75325,1.3845,0.25,0.000125,0.000125,1,512,512,0.103874883,0.150303297,0.234251485,0.324091687,0.662433862,0.765485723,1
3,10,1,0.69,1.228,0.25,0.000125,0.000125,0.5,1,512,0.103391524,0.126286502,0.206070918,0.352256186,0.55049505,0.664186463,<1
3,11,1,0.612,1.273,0.25,0.000125,0.000125,1,1,512,0.079276238,0.104674797,0.173514324,0.338056206,0.524708229,0.669094087,1
3,12,1,0.465125,1.46,0.25,0.000125,0.000125,4,1,512,0.068679223,0.103531976,0.170527574,0.247144341,0.584809367,0.745062837,>1
4,1,1,1.00875,1.7965,0.5,0.5,0.5,1,1,4,0.078204225,0.10989781,0.216742148,0.183195389,0.335058609,0.460438444,1
4,2,1,0.9275,1.816,0.5,0.5,0.5,1,1,1,0.074925945,0.127135901,0.225628954,0.11735898,0.121606669,0.221108065,1
4,3,1,1.01525,1.816,0.5,0.5,0.5,1,1,1,0.076223413,0.11434931,0.217923561,0.079918389,0.085596264,0.131079732,1
4,4,1,0.95325,1.845,0.5,0.5,0.5,1,4,4,0.066919497,0.097960967,0.192009298,0.101278269,0.211020731,0.412771584,1
4,5,1,1.06325,1.8305,0.5,0.5,0.5,1,1,1,0.064886911,0.152508855,0.266451424,0.091666667,0.065602322,0.12108988,1
4,6,1,0.813375,1.674,0.5,0.5,0.5,1,512,512,0.057091819,0.123418096,0.239493447,0.207464382,0.702275085,0.836530047,1
4,7,1,0.94825,1.807,0.5,0.5,0.5,1,1,1,0.061131124,0.097784343,0.187399031,0.058774061,0.0548938,0.097109208,1
4,8,1,0.982125,1.825,0.5,0.5,0.5,1,1,1,0.060300466,0.08274561,0.167259581,0.067699491,0.066336996,0.140846584,1
4,9,1,1.00825,1.8385,0.5,0.5,0.5,1,1,1,0.082237663,0.108800473,0.213205601,0.091853035,0.055355569,0.099691269,1
4,10,1,0.88,1.756,0.5,0.5,0.5,1,1,1,0.058302986,0.074264597,0.166332842,0.062633604,0.069579167,0.166284234,1
4,11,1,0.9015,1.7635,0.5,0.5,0.5,1,1,1,0.059963636,0.103090699,0.211454126,0.092778793,0.046735797,0.094451688,1
4,12,1,0.911375,1.7705,0.5,0.5,0.5,1,1,1,0.082825385,0.107767857,0.206074074,0.1838453,0.158931419,0.215828139,1
5,1,1,1.688125,1.7345,4,512,512,8,512,512,0.336614173,0.869464738,0.914347373,0.405581236,0.817960807,0.886195684,>1
5,2,1,1.674125,1.744,4,512,512,8,512,512,0.311081516,0.878509828,0.925399202,0.470816464,0.814605067,0.882138608,>1
5,3,1,1.67875,1.7415,4,512,512,512,512,512,0.297610427,0.885200344,0.932871068,NA,NA,NA,>1
5,4,1,1.689125,1.7555,4,512,512,8,512,512,0.285407955,0.878277712,0.930272867,0.376188799,0.83150745,0.892202502,>1
5,5,1,1.67175,1.696,4,512,512,4,512,512,0.277069184,0.87510016,0.9393531,0.428603834,0.904416943,0.958433614,>1
5,6,1,1.67325,1.7155,4,512,512,4,512,512,0.198633972,0.866656599,0.925486664,0.401287679,0.835135676,0.919368494,>1
5,7,1,1.669,1.7135,4,512,512,1,512,512,0.205264969,0.842875896,0.924768345,0.44761824,0.836489899,0.923932319,1
5,8,1,1.685375,1.7345,4,512,512,4,512,512,0.220119466,0.775605631,0.879980203,0.46840705,0.851434224,0.924861173,>1
5,9,1,1.679625,1.7155,4,512,512,1,512,512,0.298479828,0.825906344,0.931910416,0.408451327,0.813061377,0.924092532,1
5,10,1,1.6545,1.719,4,512,512,32,512,512,0.355036253,0.812766443,0.924159855,0.401664932,0.767396521,0.892367323,>1
5,11,1,1.67075,1.7125,4,512,512,8,512,512,0.23284406,0.858748632,0.924138955,0.362123761,0.774709735,0.895710059,>1
5,12,1,1.652875,1.7135,4,512,512,32,512,512,0.367419284,0.862011763,0.932932029,0.488026981,0.802771855,0.907564297,>1
6,1,1,1.47425,1.7155,1,1,1,1,4,4,0.073536507,0.12908237,0.249483928,0.17785512,0.32613724,0.414118011,1
6,2,1,1.398375,1.8075,1,1,1,1,1,4,0.077940695,0.165857962,0.273374889,0.144855349,0.21526833,0.344085621,1
6,3,1,1.4675,1.8035,1,1,1,1,1,4,0.074354153,0.149553244,0.278160154,0.196745152,0.233265182,0.368467933,1
6,4,1,1.519125,1.8365,1,1,1,1,1,1,0.074537628,0.135908959,0.240127716,0.139655461,0.172935846,0.208603312,1
6,5,1,1.337625,1.771,1,1,1,1,1,1,0.067104607,0.13081438,0.23019692,0.137076405,0.228864734,0.294911967,1
6,6,1,1.502375,1.804,1,1,1,1,1,1,0.068534553,0.129806281,0.231382584,0.089077622,0.11803071,0.155222009,1
6,7,1,1.461125,1.798,1,1,1,1,1,1,0.063080624,0.195130975,0.30249779,0.088857485,0.181321881,0.251710833,1
6,8,1,1.508,1.7455,1,1,1,1,1,1,0.06068314,0.119213467,0.223071857,0.127828524,0.204905545,0.273938195,1
6,9,1,1.509875,1.787,1,1,1,1,1,1,0.061357155,0.120803136,0.215501859,0.10022485,0.121007371,0.147971014,1
6,10,1,1.4625,1.8045,1,1,1,1,1,1,0.058034949,0.115946869,0.191849203,0.095808383,0.151043186,0.196893275,1
6,11,1,1.4985,1.739,1,1,1,1,1,1,0.058897034,0.134761349,0.245405763,0.126588677,0.14650435,0.216709492,1
6,12,1,1.1675,1.7835,1,1,1,1,1,1,0.06084788,0.135954559,0.228798455,0.091564272,0.08702932,0.128579908,1
7,1,1,1.525,1.6145,1,1,1,1,1,1,0.073633157,0.132122455,0.296679429,0.108557742,0.158273099,0.362970547,1
7,2,1,1.571,1.7585,1,1,1,1,1,4,0.069299249,0.190412386,0.380407314,0.11215286,0.160238959,0.315047962,1
7,3,1,1.498625,1.774,1,1,1,1,4,4,0.051195937,0.156087795,0.3425159,0.111753452,0.252969121,0.460042957,1
7,4,1,1.600375,1.7715,1,1,1,1,4,512,0.065461944,0.192954009,0.426025679,0.126000433,0.296211775,0.653281968,1
7,5,1,1.576375,1.7615,1,1,1,1,4,8,0.062686443,0.130870987,0.322076763,0.117121849,0.280852856,0.587221553,1
7,6,1,1.483375,1.775,1,1,1,1,1,8,0.047577277,0.18092745,0.356375037,0.091880734,0.2206907,0.509150474,1
7,7,1,1.548,1.811,1,1,1,4,4,4,0.05713128,0.125467884,0.261516602,0.045556452,0.107262804,0.273777909,>1
7,8,1,1.491875,1.802,1,1,1,1,1,1,0.052040816,0.096401404,0.230454479,0.073592112,0.1341901,0.30178416,1
7,9,1,1.48025,1.7735,1,1,1,1,1,4,0.041625535,0.135440096,0.283639486,0.099161378,0.153898254,0.31782428,1
7,10,1,1.36,1.6885,1,1,1,1,1,1,0.052596758,0.151984548,0.330872382,0.110421836,0.222508063,0.441368453,1
7,11,1,1.348875,1.7335,1,1,1,1,1,4,0.122305683,0.224245129,0.416671611,0.074263502,0.145432325,0.357911488,1
7,12,1,1.297875,1.658,1,1,1,1,1,1,0.045193269,0.134014063,0.300814527,0.048898072,0.078087798,0.182705149,1
8,1,1,1.357875,1.778,0.5,1,1,1,4,4,0.047727624,0.142387012,0.247364568,0.147288349,0.25605449,0.3241651,1
8,2,1,1.20375,1.8065,0.5,1,1,1,4,4,0.110618067,0.182901707,0.310938188,0.163831935,0.299048369,0.400193244,1
8,3,1,1.2865,1.7885,0.5,1,1,1,1,4,0.101874311,0.210818756,0.398242788,0.090062381,0.12000721,0.209242665,1
8,4,1,1.34525,1.8125,0.5,1,1,1,4,4,0.117902973,0.204397204,0.369547445,0.132215944,0.256687315,0.363322043,1
8,5,1,1.221875,1.736,0.5,1,1,4,4,4,0.109262166,0.248186376,0.403479799,0.08083244,0.112955486,0.159450687,>1
8,6,1,1.18175,1.7925,0.5,1,1,4,1,512,0.10083294,0.196429625,0.30596729,0.196587447,0.413675475,0.646510493,>1
8,7,1,1.198375,1.754,0.5,1,1,1,1,4,0.083366402,0.173975833,0.314899882,0.165046492,0.129687263,0.221852074,1
8,8,1,1.09875,1.771,0.5,1,1,4,4,4,0.116800247,0.185522475,0.288550958,0.026974622,0.134567901,0.194148053,>1
8,9,1,1.0885,1.776,0.5,1,1,1,4,4,0.122669316,0.171937574,0.276134355,0.146574332,0.276344319,0.356109906,1
8,10,1,1.129375,1.6645,0.5,1,1,1,1,1,0.114462672,0.181748034,0.280243251,0.083881241,0.113512491,0.204469949,1
8,11,1,1.0895,1.728,0.5,1,1,1,1,1,0.114940633,0.166462704,0.262878788,0.091381048,0.060867953,0.125203674,1
8,12,1,1.148375,1.7485,0.5,1,1,1,1,1,0.091836066,0.191326531,0.326718912,0.099001745,0.066621703,0.118834081,1
9,1,1,0.712625,1.42525,0.25,0.000125,0.000125,0.25,0.000125,1,0.097203504,0.140440963,0.203731235,0.128553594,0.205846422,0.343744582,<1
9,2,1,0.667875,1.232,0.25,0.000125,0.000125,0.25,0.000125,1,0.096663262,0.142952243,0.204348461,0.174220273,0.223772915,0.310559006,<1
9,3,1,0.702875,1.372,0.25,0.000125,0.000125,1,1,1,0.09383433,0.142886091,0.191865195,0.086904241,0.104584092,0.128452433,1
9,4,1,0.73325,1.71475,0.25,0.000125,0.000125,1,1,1,0.095435262,0.140271755,0.190520365,0.110368957,0.138725268,0.156124354,1
9,5,1,0.8385,1.55,0.25,0.000125,0.000125,0.25,1,1,0.127514691,0.16842258,0.230793835,0.167517497,0.316714136,0.432558832,<1
9,6,1,0.8135,1.236,0.25,0.000125,0.000125,0.25,0.000125,1,0.109065551,0.167042295,0.230296827,0.113490901,0.145268769,0.255978183,<1
9,7,1,0.747625,1.57825,0.25,0.000125,0.000125,0.25,0.000125,1,0.116886727,0.158494435,0.206426999,0.084254897,0.201802077,0.357750669,<1
9,8,1,0.7845,1.78725,0.25,0.000125,0.000125,1,1,1,0.122366373,0.178878559,0.236959675,0.04616451,0.05246689,0.068773503,1
9,9,1,0.8165,1.1305,0.25,0.000125,0.000125,0.25,0.000125,1,0.105041725,0.160290698,0.225899912,0.128704078,0.156718404,0.250330175,<1
9,10,1,0.72475,1.5185,0.25,0.000125,0.000125,0.25,1,1,0.094200897,0.144128009,0.197881107,0.204513727,0.282808483,0.411406844,<1
9,11,1,0.72275,1.2165,0.25,0.000125,0.000125,1,0.000125,1,0.086417186,0.128825314,0.184897488,0.211713996,0.074641197,0.106260953,1
9,12,1,0.674,1.45575,0.25,0.000125,0.000125,1,1,4,0.078229167,0.117755344,0.167486379,0.22884981,0.16636216,0.307099746,1
10,1,1,1.507625,1.61025,1,512,512,1,1,512,0.105497961,0.685688406,0.827754269,0.087006754,0.664652568,0.846470236,1
10,2,1,1.499375,1.60775,1,512,512,1,512,512,0.116435386,0.699961977,0.839995449,0.096735669,0.701941968,0.863983371,1
10,3,1,1.51575,1.747,1,512,512,1,1,1,0.123940128,0.704146489,0.842023845,0.063588191,0.063483778,0.162333283,1
10,4,1,1.52925,1.606,1,512,512,1,512,512,0.106720384,0.670906499,0.831309952,0.086072817,0.679264289,0.83556847,1
10,5,1,1.501125,1.729,1,512,512,1,1,1,0.09618435,0.643274632,0.830961393,0.064434414,0.135516873,0.241367713,1
10,6,1,1.512375,1.50075,1,512,512,1,1,512,0.107644018,0.684626547,0.843305059,0.110578662,0.674722602,0.833736946,1
10,7,1,1.513875,1.60425,1,512,512,0.25,1,512,0.114130435,0.624275031,0.811593656,0.144415776,0.588954278,0.824782478,<1
10,8,1,1.5195,1.724,1,512,512,0.25,1,512,0.155023923,0.628490284,0.806352976,0.139314516,0.50028169,0.728844706,<1
10,9,1,1.443375,1.5355,1,512,512,0.25,1,1,0.173338923,0.667246908,0.835969697,0.103099574,0.50253978,0.772747918,<1
10,10,1,1.483125,1.711,1,512,512,1,1,512,0.137716996,0.655096125,0.811874811,0.087880972,0.585801995,0.858922275,1
10,11,1,1.4955,1.552,1,512,512,0.25,1,1,0.158768144,0.652531646,0.811249065,0.14890925,0.552296873,0.762608436,<1
10,12,1,1.496375,1.7385,1,512,512,1,1,4,0.194298246,0.680223261,0.823404899,0.078954965,0.267804614,0.48722822,1
